Date : 2026-05-22 00:59:59
Directory : h:\tools\cyclemetry
Total : 286 files,  314578 codes, 5844 comments, 8368 blanks, all 328790 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| h:\tools\cyclemetry\app\src\features\app-shell\components\AppHeader.jsx                       | JavaScript JSX     |         82 |         17 |          6 |        105 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ControlPanel.jsx                    | JavaScript JSX     |         32 |         11 |          5 |         48 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\EditorToolbar.jsx                   | JavaScript JSX     |        112 |         21 |          5 |        138 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ErrorAlert.jsx                      | JavaScript JSX     |         30 |          7 |          6 |         43 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\LoadingOverlay.jsx                  | JavaScript JSX     |         25 |         18 |          4 |         47 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\OnboardingState.jsx                 | JavaScript JSX     |         55 |          7 |          6 |         68 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\TitleBar.jsx                        | JavaScript JSX     |         35 |          4 |          4 |         43 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useActivityImport.js                     | JavaScript         |         32 |         22 |          8 |         62 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useAppBootstrap.js                       | JavaScript         |         27 |         13 |          7 |         47 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useBackendStatus.js                      | JavaScript         |         70 |          8 |         16 |         94 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useEditorShellState.js                   | JavaScript         |         57 |         34 |         14 |        105 |
| h:\tools\cyclemetry\app\src\features\app-shell\index.js                                       | JavaScript         |         10 |          4 |          2 |         16 |
| h:\tools\cyclemetry\app\src\features\app-shell\utils\backendDebug.js                          | JavaScript         |         38 |         22 |         12 |         72 |
| h:\tools\cyclemetry\app\src\features\app-shell\utils\templateGroups.js                        | JavaScript         |         47 |         16 |          8 |         71 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayCanvas.jsx              | JavaScript JSX     |        240 |         19 |         16 |        275 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayEditor.jsx              | JavaScript JSX     |        209 |         33 |         16 |        258 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayMoveable.jsx            | JavaScript JSX     |         84 |         24 |          8 |        116 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\data\metricWidgetAssets.js                | JavaScript         |          1 |          0 |          1 |          2 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConfig.js               | JavaScript         |         23 |         16 |          5 |         44 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConstants.js            | JavaScript         |         32 |         11 |          8 |         51 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\createOverlayMoveableHandlers.js    | JavaScript         |         16 |         28 |          4 |         48 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useDragHandlers.js                  | JavaScript         |        145 |         26 |         26 |        197 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorKeyboard.js                | JavaScript         |         24 |         13 |          7 |         44 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorViewport.js                | JavaScript         |         23 |          9 |          8 |         40 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useOverlayEditorState.js            | JavaScript         |        337 |         34 |         47 |        418 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useResizeHandlers.js                | JavaScript         |         69 |         17 |         10 |         96 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useRotateHandlers.js                | JavaScript         |         54 |         17 |          9 |         80 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useScaleHandlers.js                 | JavaScript         |        136 |         21 |         17 |        174 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useWidgetDraftState.js              | JavaScript         |         61 |         28 |         14 |        103 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\index.js                                  | JavaScript         |         22 |          6 |          7 |         35 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\createOverlayPointerHandlers.js     | JavaScript         |        174 |         50 |         37 |        261 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\exportRange.js                      | JavaScript         |        198 |         82 |         44 |        324 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorHelpers.js             | JavaScript         |         77 |         73 |         18 |        168 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorUtils.js               | JavaScript         |        163 |         71 |         47 |        281 |
